Time,VehicleID,RSU_ID
1.0,v_0,RSU_3
1.0,v_1,
1.0,v_2,RSU_3
2.0,v_0,RSU_3
2.0,v_1,
2.0,v_2,RSU_3
3.0,v_0,RSU_3
3.0,v_1,
3.0,v_2,RSU_3
4.0,v_0,RSU_3
4.0,v_1,
4.0,v_2,RSU_3
5.0,v_0,RSU_3
5.0,v_1,
5.0,v_2,RSU_3
6.0,v_0,RSU_3
6.0,v_1,RSU_3
6.0,v_2,RSU_3
7.0,v_0,RSU_3
7.0,v_1,RSU_2
7.0,v_2,RSU_3
8.0,v_0,RSU_3
8.0,v_1,RSU_2
8.0,v_2,RSU_3
9.0,v_0,RSU_3
9.0,v_1,RSU_2
9.0,v_2,RSU_3
10.0,v_0,RSU_3
10.0,v_1,RSU_2
10.0,v_2,RSU_3
11.0,v_0,RSU_3
11.0,v_1,RSU_3
11.0,v_2,RSU_3
12.0,v_0,RSU_3
12.0,v_1,RSU_3
12.0,v_2,RSU_3
13.0,v_0,RSU_3
13.0,v_1,RSU_3
13.0,v_2,RSU_3
14.0,v_0,RSU_3
14.0,v_1,RSU_3
14.0,v_2,RSU_3
15.0,v_0,RSU_3
15.0,v_1,RSU_3
15.0,v_2,RSU_3
16.0,v_0,RSU_3
16.0,v_1,RSU_3
16.0,v_2,RSU_3
17.0,v_0,RSU_3
17.0,v_1,RSU_3
17.0,v_2,RSU_3
18.0,v_0,RSU_3
18.0,v_1,RSU_3
18.0,v_2,RSU_3
19.0,v_0,RSU_3
19.0,v_1,RSU_3
19.0,v_2,RSU_3
20.0,v_0,RSU_3
20.0,v_1,RSU_3
20.0,v_2,RSU_3
21.0,v_0,RSU_3
21.0,v_1,RSU_3
21.0,v_2,RSU_3
22.0,v_0,RSU_3
22.0,v_1,RSU_3
22.0,v_2,RSU_3
23.0,v_0,RSU_3
23.0,v_1,RSU_3
23.0,v_2,RSU_3
24.0,v_0,RSU_3
24.0,v_1,RSU_3
24.0,v_2,RSU_3
25.0,v_0,RSU_3
25.0,v_1,RSU_3
25.0,v_2,RSU_3
26.0,v_0,RSU_3
26.0,v_1,RSU_3
26.0,v_2,RSU_3
27.0,v_0,RSU_3
